IDADE,CAR_STR_ID_CATEGORIA,CAR_STR_ID_TIPO,CAR_DAT_DT_EMISSAO,CAR_DAT_DT_VALIDADE,RENOVACAO
40,AB,C,26/01/2022,09/12/2031,1
26,B,P,25/01/2022,25/01/2023,1
36,B,P,25/01/2022,25/01/2023,1
32,AB,C,25/01/2022,02/08/2031,1
26,AB,P,25/01/2022,25/01/2023,1
21,B,P,25/01/2022,25/01/2023,1
32,AD,C,25/01/2022,10/11/2031,1
29,AB,C,26/01/2022,07/12/2031,1
21,B,P,25/01/2022,25/01/2023,1
22,B,P,25/01/2022,25/01/2023,1
29,AB,P,26/01/2022,26/01/2023,1
28,B,P,26/01/2022,26/01/2023,1
41,B,C,12/01/2022,05/01/2032,1
55,B,C,24/01/2022,25/02/2026,1
-15,B,C,29/01/2022,28/12/2024,1
50,B,C,26/01/2022,07/01/2032,1
-24,B,C,26/01/2022,23/12/2024,1
35,B,C,26/01/2022,21/12/2031,1
32,B,C,26/01/2022,17/12/2031,1
37,B,C,26/01/2022,06/01/2032,1
67,B,C,26/01/2022,07/01/2027,1
41,B,C,26/01/2022,05/01/2032,1
36,B,C,26/01/2022,17/12/2031,1
37,B,C,26/01/2022,16/12/2031,1
74,B,C,26/01/2022,06/01/2025,1
61,B,C,26/01/2022,06/01/2027,1
55,AB,C,26/01/2022,08/09/2026,1
50,AB,C,25/01/2022,25/09/2025,1
26,AB,P,26/01/2022,26/01/2023,1
57,AE,C,25/01/2022,08/12/2026,1
44,AD,C,25/01/2022,07/12/2031,1
24,AB,P,26/01/2022,26/01/2023,1
31,AB,C,26/01/2022,14/12/2031,1
29,AB,P,25/01/2022,25/01/2023,1
27,AB,C,26/01/2022,02/12/2031,1
57,B,C,25/01/2022,05/10/2026,1
28,AB,C,26/01/2022,14/12/2031,1
31,B,P,21/01/2022,21/01/2023,1
38,AE,C,25/01/2022,26/10/2031,1
35,B,P,26/01/2022,26/01/2023,1
27,B,P,25/01/2022,25/01/2023,1
31,AB,C,26/01/2022,25/10/2031,1
34,B,P,25/01/2022,25/01/2023,1
30,B,P,24/01/2022,24/01/2023,1
25,B,P,25/01/2022,25/01/2023,1
25,B,P,25/01/2022,25/01/2023,1
27,B,C,26/01/2022,09/11/2031,1
52,AB,C,26/01/2022,09/11/2031,1
42,B,C,26/01/2022,16/11/2031,1
51,AB,C,26/01/2022,10/11/2031,1
34,B,C,26/01/2022,12/11/2031,1
41,B,C,26/01/2022,09/11/2031,1
35,B,C,26/01/2022,22/11/2031,1
43,B,C,26/01/2022,24/11/2031,1
37,B,C,26/01/2022,17/11/2031,1
71,B,C,26/01/2022,24/11/2026,1
39,AB,C,26/01/2022,19/11/2031,1
40,B,C,26/01/2022,11/11/2031,1
55,B,C,26/01/2022,22/11/2026,1
32,B,C,26/01/2022,20/12/2031,1
62,B,C,26/01/2022,04/01/2027,1
61,B,C,26/01/2022,22/12/2026,1
44,B,C,26/01/2022,06/01/2032,1
40,B,C,26/01/2022,07/01/2032,1
71,B,C,26/01/2022,04/01/2027,1
39,B,C,26/01/2022,29/12/2031,1
63,B,C,26/01/2022,21/12/2026,1
56,B,C,26/01/2022,22/12/2026,1
64,B,C,26/01/2022,23/12/2026,1
31,B,C,26/01/2022,17/12/2031,1
73,B,C,26/01/2022,04/01/2025,1
28,B,C,26/01/2022,04/01/2032,1
63,B,C,26/01/2022,03/01/2027,1
64,B,C,26/01/2022,05/01/2027,1
43,B,C,26/01/2022,23/12/2031,1
-21,B,C,26/01/2022,04/01/2025,1
-22,B,C,26/01/2022,29/12/2024,1
44,B,C,26/01/2022,17/12/2031,1
27,B,C,26/01/2022,22/12/2031,1
31,B,C,26/01/2022,20/12/2031,1
32,B,C,26/01/2022,21/12/2031,1
39,B,C,26/01/2022,04/08/2031,1
47,B,C,26/01/2022,04/01/2032,1
55,B,C,26/01/2022,05/01/2027,1
37,B,C,26/01/2022,17/12/2031,1
52,B,C,26/01/2022,05/01/2032,1
51,B,C,26/01/2022,20/12/2031,1
37,B,C,29/01/2022,28/12/2031,1
55,B,C,26/01/2022,06/01/2027,1
61,B,C,26/01/2022,04/01/2027,1
-14,B,C,26/01/2022,04/01/2025,1
28,B,C,26/01/2022,18/12/2031,1
42,B,C,26/01/2022,23/12/2031,1
52,B,C,26/01/2022,04/01/2032,1
46,B,C,26/01/2022,05/01/2032,1
46,B,C,26/01/2022,07/01/2032,1
52,B,C,26/01/2022,28/12/2031,1
31,B,C,26/01/2022,20/12/2031,1
36,B,C,26/01/2022,20/12/2031,1
63,B,C,26/01/2022,04/01/2027,1
39,B,C,26/01/2022,06/01/2032,1
52,B,C,26/01/2022,23/12/2031,1
-20,B,C,26/01/2022,17/12/2024,1
26,B,C,26/01/2022,05/01/2032,1
26,B,C,26/01/2022,06/01/2032,1
38,B,C,26/01/2022,17/12/2031,1
-24,B,C,26/01/2022,03/01/2025,1
72,B,C,26/01/2022,02/12/2026,1
45,B,C,26/01/2022,17/12/2031,1
44,B,C,26/01/2022,04/01/2032,1
41,B,C,26/01/2022,05/01/2032,1
36,B,C,26/01/2022,05/01/2032,1
32,B,C,26/01/2022,04/01/2032,1
54,B,C,26/01/2022,29/12/2026,1
72,B,C,26/01/2022,17/12/2026,1
31,B,C,26/01/2022,29/12/2031,1
60,B,C,26/01/2022,22/12/2026,1
52,B,C,26/01/2022,05/01/2032,1
-15,B,C,26/01/2022,04/01/2025,1
43,B,C,26/01/2022,03/01/2032,1
53,B,C,29/01/2022,03/01/2027,1
49,B,C,26/01/2022,07/01/2032,1
53,B,C,26/01/2022,04/01/2027,1
66,B,C,26/01/2022,21/12/2026,1
60,B,C,26/01/2022,29/12/2026,1
44,B,C,26/01/2022,23/12/2031,1
55,B,C,26/01/2022,21/12/2026,1
62,B,C,29/01/2022,28/12/2026,1
28,B,C,26/01/2022,27/12/2031,1
47,B,C,26/01/2022,22/12/2031,1
39,B,C,26/01/2022,06/01/2032,1
72,B,C,26/01/2022,29/12/2026,1
31,B,C,26/01/2022,21/12/2031,1
70,B,C,26/01/2022,04/01/2027,1
26,B,C,26/01/2022,05/01/2032,1
52,B,C,26/01/2022,21/12/2031,1
64,B,C,26/01/2022,28/12/2026,1
71,B,C,25/01/2022,04/01/2027,1
69,B,C,25/01/2022,12/01/2027,1
47,B,C,25/01/2022,11/01/2032,1
45,B,C,26/01/2022,12/01/2032,1
23,B,P,26/01/2022,26/01/2023,1
39,B,P,25/01/2022,25/01/2023,1
21,B,P,26/01/2022,26/01/2023,1
69,AB,C,26/01/2022,30/08/2026,1
25,AB,C,26/01/2022,16/11/2031,1
24,AB,P,26/01/2022,26/01/2023,1
33,AB,C,26/01/2022,17/11/2031,1
28,AB,P,26/01/2022,26/01/2023,1
37,AB,C,26/01/2022,17/11/2031,1
24,AB,P,26/01/2022,26/01/2023,1
26,AB,P,25/01/2022,25/01/2023,1
30,AB,C,26/01/2022,09/03/2026,1
57,B,C,25/01/2022,03/01/2027,1
22,B,P,25/01/2022,25/01/2023,1
29,B,P,26/01/2022,26/01/2023,1
38,B,C,24/01/2022,13/02/2024,1
34,AB,P,25/01/2022,25/01/2023,1
35,AD,C,25/01/2022,27/10/2031,1
43,AD,C,25/01/2022,29/12/2031,1
40,AB,C,26/01/2022,02/12/2031,1
30,AD,C,25/01/2022,26/11/2031,1
31,AB,C,26/01/2022,21/07/2031,1
35,B,P,26/01/2022,26/01/2023,1
44,B,P,26/01/2022,26/01/2023,1
24,AB,P,26/01/2022,26/01/2023,1
22,AB,P,26/01/2022,26/01/2023,1
22,B,P,25/01/2022,25/01/2023,1
36,B,P,25/01/2022,25/01/2023,1
51,AB,C,26/01/2022,01/12/2025,1
25,B,P,26/01/2022,26/01/2023,1
32,AB,P,26/01/2022,26/01/2023,1
61,B,C,25/01/2022,10/12/2026,1
21,B,P,25/01/2022,25/01/2023,1
23,AB,P,26/01/2022,26/01/2023,1
22,AB,P,26/01/2022,26/01/2023,1
21,AB,P,26/01/2022,26/01/2023,1
68,B,C,21/01/2022,14/01/2027,1
55,B,C,21/01/2022,14/01/2027,1
46,B,C,26/01/2022,19/11/2031,1
30,B,C,27/01/2022,04/01/2032,1
55,B,C,21/01/2022,14/01/2027,1
37,B,C,26/01/2022,06/01/2032,1
71,B,C,21/01/2022,17/01/2027,1
42,B,C,27/01/2022,08/01/2032,1
53,B,C,26/01/2022,17/09/2024,1
55,B,C,26/01/2022,05/01/2027,1
45,B,C,21/01/2022,11/01/2032,1
26,B,C,19/01/2022,11/01/2032,1
45,B,C,19/01/2022,11/01/2032,1
35,B,C,21/01/2022,13/01/2032,1
61,B,C,26/01/2022,07/01/2027,1
27,B,C,26/01/2022,03/01/2032,1
48,B,C,27/01/2022,06/01/2032,1
