IDADE;CATEGORIA;TIPO;EMISSAO;RENOVACAO
60;AD;C;02/10/2004;1
51;B;C;02/10/2004;1
56;B;C;02/10/2004;1
74;B;C;02/10/2004;1
50;C;C;02/10/2004;1
71;AC;C;02/10/2004;1
44;B;C;02/10/2004;1
73;AB;C;02/10/2004;1
50;B;C;02/10/2004;1
-24;B;C;02/10/2004;1
66;C;C;02/10/2004;1
74;C;C;02/10/2004;1
64;C;C;02/10/2004;1
-25;C;C;02/10/2004;1
67;C;C;02/10/2004;1
69;B;C;02/10/2004;1
-20;C;C;02/10/2004;1
51;B;C;02/10/2004;1
64;C;C;02/10/2004;1
56;B;C;02/10/2004;1
50;AC;C;02/10/2004;1
43;B;C;02/10/2004;1
61;B;C;02/10/2004;1
62;B;C;02/10/2004;1
60;C;C;02/10/2004;1
51;C;C;02/10/2004;1
-11;C;C;02/10/2004;1
56;B;C;02/10/2004;1
49;AC;C;02/10/2004;1
54;C;C;02/10/2004;1
-12;B;C;02/10/2004;1
56;B;C;02/10/2004;1
50;AC;C;02/10/2004;1
-7;B;C;02/10/2004;1
-11;B;C;02/10/2004;1
71;B;C;02/10/2004;1
-19;AB;C;02/10/2004;1
60;B;C;02/10/2004;1
43;B;C;02/10/2004;1
55;B;C;02/10/2004;1
-4;B;C;02/10/2004;1
58;AB;C;02/10/2004;1
51;C;C;02/10/2004;1
-25;B;C;02/10/2004;1
62;AC;C;02/10/2004;1
67;AD;C;02/10/2004;1
54;AC;C;02/10/2004;1
41;B;C;02/10/2004;1
46;B;P;02/10/2004;1
38;B;P;02/10/2004;1
51;B;P;02/10/2004;1
39;B;P;02/10/2004;1
38;B;P;02/10/2004;1
54;B;C;02/10/2004;1
70;C;C;02/10/2004;1
46;B;C;02/10/2004;1
45;B;C;02/10/2004;1
44;B;C;02/10/2004;1
57;C;C;02/10/2004;1
45;B;C;02/10/2004;1
43;B;C;02/10/2004;1
58;B;C;02/10/2004;1
41;B;P;02/10/2004;1
4;B;C;02/10/2004;1
66;C;C;02/10/2004;1
55;E;C;02/10/2004;1
55;B;C;02/10/2004;1
56;C;C;02/10/2004;1
74;B;C;02/10/2004;1
42;B;C;02/10/2004;1
50;B;C;02/10/2004;1
55;B;C;02/10/2004;1
59;B;C;02/10/2004;1
40;B;C;02/10/2004;1
46;B;C;02/10/2004;1
65;AC;C;02/10/2004;1
-20;C;C;02/10/2004;1
43;B;C;02/10/2004;1
61;B;C;02/10/2004;1
58;B;C;02/10/2004;1
44;B;C;02/10/2004;1
50;B;C;02/10/2004;1
42;B;C;02/10/2004;1
61;B;C;02/10/2004;1
53;B;C;02/10/2004;1
61;B;C;02/10/2004;1
-12;C;C;02/10/2004;1
-4;C;C;02/10/2004;1
54;C;C;02/10/2004;1
42;B;C;02/10/2004;1
74;D;C;02/10/2004;1
47;B;C;02/10/2004;1
-20;D;C;02/10/2004;1
52;B;C;02/10/2004;1
44;B;C;02/10/2004;1
53;C;C;02/10/2004;1
-19;AD;C;02/10/2004;1
60;C;C;02/10/2004;1
56;C;C;02/10/2004;1
-11;C;C;02/10/2004;1
-14;D;C;02/10/2004;1
60;AB;C;02/10/2004;1
57;B;C;02/10/2004;1
48;AB;C;02/10/2004;1
60;B;C;02/10/2004;1
43;B;C;02/10/2004;1
51;B;P;02/10/2004;1
-19;E;C;02/10/2004;1
44;AD;C;02/10/2004;1
54;B;C;02/10/2004;1
71;C;C;02/10/2004;1
59;AB;C;02/10/2004;1
45;B;C;02/10/2004;1
53;AB;C;02/10/2004;1
50;AB;C;02/10/2004;1
49;B;C;02/10/2004;1
65;B;C;02/10/2004;1
58;AC;C;02/10/2004;1
51;B;C;02/10/2004;1
-19;AB;C;02/10/2004;1
62;B;C;02/10/2004;1
-14;AB;C;02/10/2004;1
70;B;C;02/10/2004;1
55;A;C;02/10/2004;1
-19;B;C;02/10/2004;1
-7;D;C;02/10/2004;1
2;B;C;02/10/2004;1
-9;B;C;02/10/2004;1
71;C;C;02/10/2004;1
61;B;C;02/10/2004;1
50;AC;C;02/10/2004;1
43;B;C;02/10/2004;1
53;B;C;02/10/2004;1
70;D;C;02/10/2004;1
-23;B;C;02/10/2004;1
60;C;C;02/10/2004;1
51;B;C;02/10/2004;1
-15;B;C;02/10/2004;1
39;B;C;02/10/2004;1
48;B;C;02/10/2004;1
46;B;C;02/10/2004;1
-22;C;C;02/10/2004;1
67;C;C;02/10/2004;1
48;B;C;02/10/2004;1
47;B;C;02/10/2004;1
67;AB;C;02/10/2004;1
61;B;C;02/10/2004;1
44;B;C;02/10/2004;1
71;B;C;02/10/2004;1
60;C;C;02/10/2004;1
64;B;C;02/10/2004;1
63;C;C;02/10/2004;1
49;B;C;02/10/2004;1
55;AB;C;02/10/2004;1
65;B;C;02/10/2004;1
51;B;C;02/10/2004;1
60;B;C;02/10/2004;1
65;AE;C;02/10/2004;1
61;AC;C;02/10/2004;1
68;B;C;02/10/2004;1
41;B;C;02/10/2004;1
48;AB;C;02/10/2004;1
46;B;C;02/10/2004;1
40;B;C;02/10/2004;1
-12;B;C;02/10/2004;1
65;B;C;02/10/2004;1
53;B;C;02/10/2004;1
63;C;C;02/10/2004;1
49;B;C;02/10/2004;1
71;B;C;02/10/2004;1
41;B;C;02/10/2004;1
56;B;C;02/10/2004;1
-23;B;C;02/10/2004;1
52;B;C;02/10/2004;1
-20;B;C;02/10/2004;1
42;B;C;02/10/2004;1
58;AC;C;02/10/2004;1
43;AD;C;02/10/2004;1
53;B;C;02/10/2004;1
71;D;C;02/10/2004;1
72;B;C;02/10/2004;1
45;B;C;02/10/2004;1
52;D;C;02/10/2004;1
53;D;C;02/10/2004;1
42;B;C;02/10/2004;1
-4;B;C;02/10/2004;1
56;B;C;02/10/2004;1
52;B;C;02/10/2004;1
70;B;C;02/10/2004;1
62;AD;C;02/10/2004;1
42;B;C;02/10/2004;1
-19;D;C;02/10/2004;1
51;AC;C;02/10/2004;1
-23;D;C;02/10/2004;1
-23;B;C;02/10/2004;1
60;B;C;02/10/2004;1
61;D;C;02/10/2004;1
59;B;C;02/10/2004;1
53;B;C;02/10/2004;1
62;D;C;02/10/2004;1
-22;D;C;02/10/2004;1
5;B;C;02/10/2004;1
54;B;C;02/10/2004;1
-10;B;C;02/10/2004;1
62;AB;C;02/10/2004;1
53;B;C;02/10/2004;1
48;B;C;02/10/2004;1
-5;B;C;02/10/2004;1
67;C;C;02/10/2004;1
53;B;C;02/10/2004;1
48;D;C;02/10/2004;1
49;B;C;02/10/2004;1
65;AB;C;02/10/2004;1
55;B;C;02/10/2004;1
-24;B;C;02/10/2004;1
-7;B;C;02/10/2004;1
-12;B;C;02/10/2004;1
-25;B;C;02/10/2004;1
55;B;C;02/10/2004;1
41;B;C;02/10/2004;1
42;B;C;02/10/2004;1
52;B;C;02/10/2004;1
48;B;C;02/10/2004;1
64;B;C;02/10/2004;1
65;B;C;02/10/2004;1
61;B;C;02/10/2004;1
45;B;C;02/10/2004;1
54;B;C;02/10/2004;1
42;B;P;02/10/2004;1
-23;B;C;02/10/2004;1
56;AC;C;02/10/2004;1
5;B;C;02/10/2004;1
46;B;P;02/10/2004;1
-23;B;C;02/10/2004;1
72;D;C;02/10/2004;1
73;B;C;02/10/2004;1
61;B;C;02/10/2004;1
-25;AD;C;02/10/2004;1
63;B;C;02/10/2004;1
59;E;C;02/10/2004;1
-6;B;C;02/10/2004;1
61;B;C;02/10/2004;1
69;B;C;02/10/2004;1
59;D;C;02/10/2004;1
66;B;C;02/10/2004;1
-20;D;C;02/10/2004;1
50;C;C;02/10/2004;1
61;AC;C;02/10/2004;1
57;AC;C;02/10/2004;1
70;B;C;02/10/2004;1
72;B;C;02/10/2004;1
-24;D;C;02/10/2004;1
-8;B;C;02/10/2004;1
62;C;C;02/10/2004;1
59;B;C;02/10/2004;1
65;B;C;02/10/2004;1
-9;B;C;02/10/2004;1
69;B;C;02/10/2004;1
44;B;C;02/10/2004;1
57;B;C;02/10/2004;1
74;D;C;02/10/2004;1
49;AD;C;02/10/2004;1
48;B;C;02/10/2004;1
-12;D;C;02/10/2004;1
-6;B;C;02/10/2004;1
61;AC;C;02/10/2004;1
60;B;C;02/10/2004;1
71;D;C;02/10/2004;1
51;AC;C;02/10/2004;1
59;B;C;02/10/2004;1
40;B;C;02/10/2004;1
39;B;C;02/10/2004;1
-10;B;C;02/10/2004;1
43;B;C;02/10/2004;1
-25;B;C;02/10/2004;1
49;B;C;02/10/2004;1
-25;D;C;02/10/2004;1
58;AD;C;02/10/2004;1
-16;B;C;02/10/2004;1
-20;B;C;02/10/2004;1
63;C;C;02/10/2004;1
39;B;C;02/10/2004;1
-21;B;C;02/10/2004;1
64;D;C;02/10/2004;1
67;AC;C;02/10/2004;1
43;B;C;02/10/2004;1
67;AD;C;02/10/2004;1
46;B;C;02/10/2004;1
65;AD;C;02/10/2004;1
72;B;C;02/10/2004;1
71;B;C;02/10/2004;1
65;B;C;02/10/2004;1
57;AB;C;02/10/2004;1
48;B;C;02/10/2004;1
39;B;C;02/10/2004;1
61;B;C;02/10/2004;1
56;B;C;02/10/2004;1
59;B;C;02/10/2004;1
43;AB;C;02/10/2004;1
40;B;C;02/10/2004;1
50;B;C;02/10/2004;1
57;AD;C;02/10/2004;1
50;B;C;02/10/2004;1
54;B;C;02/10/2004;1
58;B;C;02/10/2004;1
60;C;C;02/10/2004;1
56;C;C;02/10/2004;1
49;C;C;02/10/2004;1
-4;B;C;02/10/2004;1
63;AD;C;02/10/2004;1
47;B;C;02/10/2004;1
-24;D;C;02/10/2004;1
50;AE;C;02/10/2004;1
60;C;C;02/10/2004;1
63;AD;C;02/10/2004;1
69;AB;C;02/10/2004;1
59;B;C;02/10/2004;1
50;AB;C;02/10/2004;1
58;B;C;02/10/2004;1
67;B;C;02/10/2004;1
40;AB;C;02/10/2004;1
43;B;P;02/10/2004;1
44;B;C;02/10/2004;1
60;B;C;02/10/2004;1
-14;B;C;02/10/2004;1
41;B;C;02/10/2004;1
48;B;C;02/10/2004;1
-9;B;C;02/10/2004;1
60;B;C;02/10/2004;1
68;C;C;02/10/2004;1
52;B;C;02/10/2004;1
62;B;C;02/10/2004;1
-14;D;C;02/10/2004;1
39;A;C;02/10/2004;1
-4;B;C;02/10/2004;1
52;B;C;02/10/2004;1
73;D;C;02/10/2004;1
-1;B;C;06/10/2004;1
-23;D;C;02/10/2004;1
-11;B;C;02/10/2004;1
47;B;C;02/10/2004;1
-6;B;C;02/10/2004;1
-3;B;C;02/10/2004;1
-5;B;C;02/10/2004;1
-6;C;C;02/10/2004;1
61;B;C;02/10/2004;1
66;B;C;02/10/2004;1
-12;B;C;02/10/2004;1
70;C;C;02/10/2004;1
46;B;C;02/10/2004;1
72;D;C;02/10/2004;1
64;B;C;02/10/2004;1
-19;D;C;02/10/2004;1
68;AC;C;02/10/2004;1
46;B;C;02/10/2004;1
46;B;C;02/10/2004;1
70;B;C;02/10/2004;1
46;B;C;02/10/2004;1
51;B;C;02/10/2004;1
39;B;C;02/10/2004;1
65;B;C;02/10/2004;1
71;B;C;02/10/2004;1
41;B;C;02/10/2004;1
44;B;C;02/10/2004;1
60;B;C;02/10/2004;1
-2;B;C;02/10/2004;1
-11;D;C;02/10/2004;1
44;B;C;02/10/2004;1
60;B;C;02/10/2004;1
50;B;C;02/10/2004;1
48;AB;C;02/10/2004;1
55;B;C;02/10/2004;1
60;B;C;02/10/2004;1
59;AB;C;02/10/2004;1
53;C;C;02/10/2004;1
62;B;C;02/10/2004;1
-7;B;C;02/10/2004;1
48;B;C;02/10/2004;1
57;B;C;02/10/2004;1
49;B;C;02/10/2004;1
61;B;P;02/10/2004;1
52;B;C;02/10/2004;1
44;B;C;02/10/2004;1
55;D;C;02/10/2004;1
71;B;C;02/10/2004;1
58;E;C;02/10/2004;1
44;B;C;02/10/2004;1
-12;D;C;02/10/2004;1
54;B;C;02/10/2004;1
66;B;C;02/10/2004;1
49;B;C;02/10/2004;1
66;C;C;02/10/2004;1
60;B;C;02/10/2004;1
58;B;C;02/10/2004;1
63;AB;C;02/10/2004;1
41;B;C;02/10/2004;1
42;B;C;02/10/2004;1
49;B;C;02/10/2004;1
40;B;C;02/10/2004;1
66;B;C;02/10/2004;1
-19;B;C;02/10/2004;1
70;B;C;02/10/2004;1
-24;B;C;02/10/2004;1
65;C;C;02/10/2004;1
70;C;C;02/10/2004;1
56;B;C;02/10/2004;1
55;AB;C;02/10/2004;1
67;B;C;02/10/2004;1
55;AC;C;02/10/2004;1
-24;B;C;02/10/2004;1
48;B;C;02/10/2004;1
-20;B;C;02/10/2004;1
-24;B;C;02/10/2004;1
-20;B;C;02/10/2004;1
-21;C;C;02/10/2004;1
49;B;C;02/10/2004;1
58;D;C;02/10/2004;1
-13;B;C;02/10/2004;1
55;C;C;02/10/2004;1
-23;B;C;02/10/2004;1
-21;B;C;02/10/2004;1
57;C;C;02/10/2004;1
43;B;C;02/10/2004;1
54;C;C;02/10/2004;1
50;AC;C;02/10/2004;1
