IDADE,CAR_STR_ID_CATEGORIA,CAR_STR_ID_TIPO,CAR_DAT_DT_EMISSAO,CAR_DAT_DT_VALIDADE,RENOVACAO
40,AB,C,26/01/2022,09/12/2031,1
32,AB,C,25/01/2022,02/08/2031,1
32,AD,C,25/01/2022,10/11/2031,1
29,AB,C,26/01/2022,07/12/2031,1
55,B,C,24/01/2022,25/02/2026,1
-15,B,C,29/01/2022,28/12/2024,1
50,B,C,26/01/2022,07/01/2032,1
-24,B,C,26/01/2022,23/12/2024,1
35,B,C,26/01/2022,21/12/2031,1
32,B,C,26/01/2022,17/12/2031,1
36,B,C,26/01/2022,17/12/2031,1
37,B,C,26/01/2022,16/12/2031,1
55,AB,C,26/01/2022,08/09/2026,1
50,AB,C,25/01/2022,25/09/2025,1
34,D,C,25/01/2022,15/10/2031,1
57,AE,C,25/01/2022,08/12/2026,1
44,AD,C,25/01/2022,07/12/2031,1
31,AB,C,26/01/2022,14/12/2031,1
27,AB,C,26/01/2022,02/12/2031,1
57,B,C,25/01/2022,05/10/2026,1
28,AB,C,26/01/2022,14/12/2031,1
38,AE,C,25/01/2022,26/10/2031,1
31,AB,C,26/01/2022,25/10/2031,1
27,B,C,26/01/2022,09/11/2031,1
52,AB,C,26/01/2022,09/11/2031,1
42,B,C,26/01/2022,16/11/2031,1
51,AB,C,26/01/2022,10/11/2031,1
34,B,C,26/01/2022,12/11/2031,1
41,B,C,26/01/2022,09/11/2031,1
35,B,C,26/01/2022,22/11/2031,1
43,B,C,26/01/2022,24/11/2031,1
37,B,C,26/01/2022,17/11/2031,1
71,B,C,26/01/2022,24/11/2026,1
39,AB,C,26/01/2022,19/11/2031,1
40,B,C,26/01/2022,11/11/2031,1
55,B,C,26/01/2022,22/11/2026,1
32,B,C,26/01/2022,20/12/2031,1
61,B,C,26/01/2022,22/12/2026,1
39,B,C,26/01/2022,29/12/2031,1
63,B,C,26/01/2022,21/12/2026,1
56,B,C,26/01/2022,22/12/2026,1
